symbol,Description,Mark,Mark Chg,Buzz Score,Buzz Vol,Norm Buzz,Dispersion
LNTH,LANTHEUS HLDGS INC COM,106.18,+28.48,4.24,4.22,0.62
GATO,GATOS SILVER INC COM,13.51,+2.36,4.19,4.19,0.65
HE,HAWAIIAN ELEC INDUSTRIES COM,10.35,+1.78,4.17,4.07,0.95
COST,COSTCO WHSL CORP NEW COM,884.31,-2.54,4.12,3.44,0.79
SOUN,SOUNDHOUND Al INC CLASS A COM,5.07,+0.93,4.06,4.20,0.58
PSMT,PRICESMART INC COM,78.30,+0.08,4.02,3.73,0.91
CTXR,CITIUS PHARMACEUTICALS INC COM NEW,0.7458,+0.0696,3.98,4.06,0.65
AEM,AGNICO EAGLE MINES LTD COM,73.28,+3.08,3.94,3.37,0.94
AP,AMPCO-PITTSBURG CORP COM,1.23,+0.4651,3.92,3.73,0.84
NTAP,NETAPP INC COM,134.62,+2.53,3.74,3.02,0.79
EXK,ENDEAVOUR SILVER CORP COM,4.63,+0.65,3.70,3.70,0.62
WDFC,WD 40 CO COM,219.75,-1.11,3.70,3.93,0.76
SGH,SMART GLOBAL HLDGS INC SHS,29.32,+6.10,3.47,3.04,0.73
CLPT,CLEARPOINT NEURO INC COM,7.23,+0.65,3.46,3.00,0.69
CCJ,CAMECO CORP COM,53.72,+4.73,3.38,3.90,0.79
AEHR,AEHR TEST SYS COM,15.39,+2.98,3.38,3.83,0.82
LMND,LEMONADE INC COM,18.39,+0.20,3.33,2.57,0.29
ON,ON SEMICONDUCTOR CORP COM,76.59,+3.11,3.31,3.23,0.69
AZZ,AZZ INC COM,76.51,+1.69,3.30,3.16,0.87
BIDU,BAIDU INC SPON ADR REP A,97.94,+2.54,3.28,2.57,0.71
ILMN,ILLUMINA INC COM,113.17,+6.49,3.26,3.38,0.71
QURE,UNIQURE NV SHS,10.12,+3.45,3.25,3.10,0.71
AMD,ADVANCED MICRO DEVICES INC COM,183.96,+6.86,3.22,2.40,0.57
HUBS,HUBSPOT INC COM,492.31,-67.90,3.15,4.17,0.68
EA,ELECTRONIC ARTS INC COM,144.09,+3.51,3.14,3.56,0.72
